,Title,Awards,Awards_won,Awards_nominated,Primetime_Awards_nominated,BAFTA_Awards_nominated,Oscar_nominated,Golden_Awards_nominated,Primetime_Awards_won,Oscar_Awards_won,Golden_Awards_won
4700,Star Wars: Episode IV - A New Hope,Won 6 Oscars. Another 48 wins & 28 nominations.,54,28,0,0,0,0,0,6,0
4701,The Hobbit,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0
4702,Youngblood,1 win.,1,0,0,0,0,0,0,0,0
4703,Youngblood,1 win.,1,0,0,0,0,0,0,0,0
4704,Star Trek: The Next Generation,Won 18 Primetime Emmys. Another 16 wins & 60 nominations.,34,60,0,0,0,0,18,0,0
4707,Liar Liar,Nominated for 1 Golden Globe. Another 4 wins & 5 nominations.,4,6,0,0,0,1,0,0,0
4710,The Secret Life of Walter Mitty,5 wins & 16 nominations.,5,16,0,0,0,0,0,0,0
4711,Gameboy,1 nomination.,0,1,0,0,0,0,0,0,0
4712,The Wayne Brady Show,6 wins & 5 nominations.,6,5,0,0,0,0,0,0,0
4713,Action Jackson,5 nominations.,0,5,0,0,0,0,0,0,0
4714,The Wild,2 nominations.,0,2,0,0,0,0,0,0,0
4715,Battlestar Galactica,Won 3 Primetime Emmys. Another 34 wins & 89 nominations.,37,89,0,0,0,0,3,0,0
4716,Transformers,Nominated for 3 Oscars. Another 19 wins & 40 nominations.,19,43,0,0,3,0,0,0,0
4718,The A-Team,2 wins & 4 nominations.,2,4,0,0,0,0,0,0,0
4719,Alan Partridge,1 win & 7 nominations.,1,7,0,0,0,0,0,0,0
4720,The Croods,Nominated for 1 Oscar. Another 5 wins & 41 nominations.,5,42,0,0,1,0,0,0,0
4724,Escape from Planet Earth,1 win.,1,0,0,0,0,0,0,0,0
4725,Man of Steel,7 wins & 42 nominations.,7,42,0,0,0,0,0,0,0
4727,The Boxtrolls,Nominated for 1 Oscar. Another 8 wins & 58 nominations.,8,59,0,0,1,0,0,0,0
4728,Interstellar,Won 1 Oscar. Another 39 wins & 134 nominations.,40,134,0,0,0,0,0,1,0
4729,World War Z,3 wins & 23 nominations.,3,23,0,0,0,0,0,0,0
4731,Dracula Untold,2 wins & 3 nominations.,2,3,0,0,0,0,0,0,0
4732,Godzilla,5 wins & 28 nominations.,5,28,0,0,0,0,0,0,0
4733,The Avengers,Nominated for 1 Oscar. Another 34 wins & 75 nominations.,34,76,0,0,1,0,0,0,0
4734,Epic,2 wins & 21 nominations.,2,21,0,0,0,0,0,0,0
4736,Mr. Peabody & Sherman,2 wins & 16 nominations.,2,16,0,0,0,0,0,0,0
4737,Love & Mercy,Nominated for 2 Golden Globes. Another 20 wins & 52 nominations.,20,54,0,0,0,2,0,0,0
4738,Rule Number One,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0
4740,The Sisterhood of Night,2 wins & 4 nominations.,2,4,0,0,0,0,0,0,0
4741,I Believe in Unicorns,2 wins & 7 nominations.,2,7,0,0,0,0,0,0,0
4742,Perfection,1 win.,1,0,0,0,0,0,0,0,0
4744,Jack Ryan: Shadow Recruit,2 nominations.,0,2,0,0,0,0,0,0,0
4745,The Lone Ranger,Nominated for 2 Oscars. Another 4 wins & 17 nominations.,4,19,0,0,2,0,0,0,0
4747,Anchorman 2: The Legend Continues,1 win & 23 nominations.,1,23,0,0,0,0,0,0,0
4748,RoboCop,4 wins & 1 nomination.,4,1,0,0,0,0,0,0,0
4754,Teenage Mutant Ninja Turtles,1 win & 10 nominations.,1,10,0,0,0,0,0,0,0
4755,Iron Man 3,Nominated for 1 Oscar. Another 17 wins & 53 nominations.,17,54,0,0,1,0,0,0,0
4756,The Great Gatsby,Won 2 Oscars. Another 44 wins & 74 nominations.,46,74,0,0,0,0,0,2,0
4757,If I Stay,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0
4759,Star Trek Into Darkness,Nominated for 1 Oscar. Another 6 wins & 46 nominations.,6,47,0,0,1,0,0,0,0
4760,Hansel & Gretel: Witch Hunters,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0
4761,The Wolverine,2 wins & 11 nominations.,2,11,0,0,0,0,0,0,0
4762,Monsters University,Nominated for 1 BAFTA Film Award. Another 9 wins & 54 nominations.,9,55,0,1,0,0,0,0,0
4763,Gravity,Won 7 Oscars. Another 215 wins & 169 nominations.,222,169,0,0,0,0,0,7,0
4764,Big Sur,1 nomination.,0,1,0,0,0,0,0,0,0
4767,The Lego Movie,Nominated for 1 Oscar. Another 70 wins & 59 nominations.,70,60,0,0,1,0,0,0,0
4769,Exodus: Gods and Kings,4 nominations.,0,4,0,0,0,0,0,0,0
4770,The Skeleton Twins,4 wins & 10 nominations.,4,10,0,0,0,0,0,0,0
4771,Maleficent,Nominated for 1 Oscar. Another 9 wins & 40 nominations.,9,41,0,0,1,0,0,0,0
4772,Warm Bodies,1 win & 9 nominations.,1,9,0,0,0,0,0,0,0
4773,Monument to Michael Jackson,3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0
4774,24: Live Another Day,Nominated for 3 Primetime Emmys. Another 14 nominations.,0,17,3,0,0,0,0,0,0
4775,A Good Day to Die Hard,3 wins & 7 nominations.,3,7,0,0,0,0,0,0,0
4777,Free Birds,2 nominations.,0,2,0,0,0,0,0,0,0
4779,Oz the Great and Powerful,5 wins & 31 nominations.,5,31,0,0,0,0,0,0,0
4780,Edge of Tomorrow,11 wins & 34 nominations.,11,34,0,0,0,0,0,0,0
4782,Romeo & Juliet,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0
4783,How to Train Your Dragon 2,Nominated for 1 Oscar. Another 13 wins & 59 nominations.,13,60,0,0,1,0,0,0,0
4784,Kick-Ass 2,1 win & 7 nominations.,1,7,0,0,0,0,0,0,0
4785,A Miracle in Spanish Harlem,1 nomination.,0,1,0,0,0,0,0,0,0
4787,Pacific Rim,Nominated for 1 BAFTA Film Award. Another 5 wins & 42 nominations.,5,43,0,1,0,0,0,0,0
4789,Now You See Me,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0
4794,Despicable Me 2,Nominated for 2 Oscars. Another 12 wins & 63 nominations.,12,65,0,0,2,0,0,0,0
4795,Mario Lopez: Saved by the Baby,1 nomination.,0,1,0,0,0,0,0,0,0
4796,Planes,5 nominations.,0,5,0,0,0,0,0,0,0
4797,All Fall Down,1 nomination.,0,1,0,0,0,0,0,0,0
4798,Alexander and the Terrible; Horrible; No Good; Very Bad Day,1 win & 7 nominations.,1,7,0,0,0,0,0,0,0
4800,Meth Head,14 wins.,14,0,0,0,0,0,0,0,0
4801,Anna,3 nominations.,0,3,0,0,0,0,0,0,0
4802,Sugar,2 wins.,2,0,0,0,0,0,0,0,0
4803,Ender's Game,1 win & 6 nominations.,1,6,0,0,0,0,0,0,0
4807,Brother's Keeper,2 wins & 3 nominations.,2,3,0,0,0,0,0,0,0
4808,1864,8 nominations.,0,8,0,0,0,0,0,0,0
4809,Walking with Dinosaurs 3D,1 nomination.,0,1,0,0,0,0,0,0,0
4811,The Maze Runner,4 wins & 10 nominations.,4,10,0,0,0,0,0,0,0
4812,Tokyo Family,2 wins & 16 nominations.,2,16,0,0,0,0,0,0,0
4814,After Earth,3 wins & 7 nominations.,3,7,0,0,0,0,0,0,0
4816,The Nut Job,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0
4817,About Last Night,1 nomination.,0,1,0,0,0,0,0,0,0
4819,A Spell to Ward Off the Darkness,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0
4820,Big Ass Spider!,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0
4822,The War Around Us,1 win.,1,0,0,0,0,0,0,0,0
4823,Last Love,2 nominations.,0,2,0,0,0,0,0,0,0
