Word,Rank,Frequency,Pr(%),r*Pr
age,620,23,0.0%,0.107929
effective,621,23,0.0%,0.108103
enlightened,622,23,0.0%,0.108277
currency,623,23,0.0%,0.108451
distinguished,624,23,0.0%,0.108625
granted,625,23,0.0%,0.108799
left,626,23,0.0%,0.108973
conflict,627,23,0.0%,0.109147
afford,628,23,0.0%,0.109322
officers,629,23,0.0%,0.109496
vital,630,23,0.0%,0.109670
capacity,631,23,0.0%,0.109844
perhaps,632,23,0.0%,0.110018
forces,633,23,0.0%,0.110192
indeed,634,23,0.0%,0.110366
defend,635,23,0.0%,0.110540
across,636,23,0.0%,0.110714
events,637,23,0.0%,0.110888
providence,638,23,0.0%,0.111062
chosen,639,23,0.0%,0.111236
said,640,22,0.0%,0.106567
point,641,22,0.0%,0.106733
matters,642,22,0.0%,0.106900
provided,643,22,0.0%,0.107066
firm,644,22,0.0%,0.107233
remember,645,22,0.0%,0.107399
early,646,22,0.0%,0.107566
rest,647,22,0.0%,0.107732
special,648,22,0.0%,0.107899
himself,649,22,0.0%,0.108065
clearly,650,22,0.0%,0.108232
reform,651,22,0.0%,0.108398
navy,652,22,0.0%,0.108565
soon,653,22,0.0%,0.108731
failure,654,22,0.0%,0.108898
ours,655,22,0.0%,0.109064
days,656,22,0.0%,0.109231
fully,657,22,0.0%,0.109397
increasing,658,22,0.0%,0.109564
washington,659,22,0.0%,0.109730
experiment,660,22,0.0%,0.109897
especially,661,22,0.0%,0.110063
benefits,662,22,0.0%,0.110230
wars,663,22,0.0%,0.110396
science,664,22,0.0%,0.110563
belief,665,22,0.0%,0.110729
ancient,666,21,0.0%,0.105855
sometimes,667,21,0.0%,0.106014
prosperous,668,21,0.0%,0.106173
needed,669,21,0.0%,0.106332
strengthen,670,21,0.0%,0.106491
encouragement,671,21,0.0%,0.106650
direction,672,21,0.0%,0.106809
practice,673,21,0.0%,0.106968
encourage,674,21,0.0%,0.107127
adequate,675,21,0.0%,0.107286
internal,676,21,0.0%,0.107445
deep,677,21,0.0%,0.107603
attempt,678,21,0.0%,0.107762
concern,679,21,0.0%,0.107921
leadership,680,21,0.0%,0.108080
difficulties,681,21,0.0%,0.108239
express,682,21,0.0%,0.108398
republican,683,21,0.0%,0.108557
instead,684,21,0.0%,0.108716
understanding,685,21,0.0%,0.108875
able,686,21,0.0%,0.109034
side,687,21,0.0%,0.109193
choice,688,21,0.0%,0.109352
complete,689,21,0.0%,0.109511
manner,690,21,0.0%,0.109670
created,691,21,0.0%,0.109829
around,692,21,0.0%,0.109988
value,693,21,0.0%,0.110147
young,694,21,0.0%,0.110305
capital,695,21,0.0%,0.110464
build,696,21,0.0%,0.110623
destroy,697,21,0.0%,0.110782
taxation,698,21,0.0%,0.110941
