Word,Rank,Frequency,Pr(%),r*Pr
need,703,280,0.0%,0.092179
follow,704,279,0.0%,0.091981
pharaoh,705,278,0.0%,0.091781
beginning,706,278,0.0%,0.091912
length,707,277,0.0%,0.091711
visit,708,276,0.0%,0.091509
heads,709,276,0.0%,0.091638
stay,710,276,0.0%,0.091767
added,711,276,0.0%,0.091897
wanted,712,276,0.0%,0.092026
serve,713,274,0.0%,0.091487
edward,714,274,0.0%,0.091616
change,715,273,0.0%,0.091409
multitude,716,273,0.0%,0.091537
instant,717,273,0.0%,0.091665
town,718,273,0.0%,0.091793
south,719,273,0.0%,0.091920
st,720,273,0.0%,0.092048
pleased,721,272,0.0%,0.091839
whales,722,271,0.0%,0.091628
offerings,723,271,0.0%,0.091755
street,724,270,0.0%,0.091543
beautiful,725,268,0.0%,0.090990
prophet,726,268,0.0%,0.091115
twelve,727,268,0.0%,0.091241
subject,728,267,0.0%,0.091026
wrong,729,267,0.0%,0.091151
host,730,266,0.0%,0.090934
lie,731,266,0.0%,0.091058
filled,732,266,0.0%,0.091183
doing,733,265,0.0%,0.090964
levites,734,265,0.0%,0.091088
secret,735,264,0.0%,0.090868
won,736,264,0.0%,0.090992
break,737,263,0.0%,0.090770
watch,738,263,0.0%,0.090894
real,739,263,0.0%,0.091017
lived,740,263,0.0%,0.091140
held,741,262,0.0%,0.090916
song,742,261,0.0%,0.090691
abraham,743,261,0.0%,0.090813
foot,744,261,0.0%,0.090936
philistines,745,261,0.0%,0.091058
thirty,746,260,0.0%,0.090831
question,747,260,0.0%,0.090953
comfort,748,260,0.0%,0.091074
jews,749,260,0.0%,0.091196
east,750,259,0.0%,0.090967
mountains,751,259,0.0%,0.091088
hell,752,258,0.0%,0.090857
houses,753,257,0.0%,0.090625
stubb,754,257,0.0%,0.090746
account,755,257,0.0%,0.090866
seems,756,257,0.0%,0.090986
bow,757,254,0.0%,0.090043
taking,758,254,0.0%,0.090162
temple,759,254,0.0%,0.090281
tribe,760,254,0.0%,0.090400
command,761,254,0.0%,0.090519
bare,762,254,0.0%,0.090638
louisa,763,254,0.0%,0.090757
righteous,764,253,0.0%,0.090518
therein,765,253,0.0%,0.090636
joseph,766,253,0.0%,0.090755
order,767,252,0.0%,0.090514
ears,768,252,0.0%,0.090632
throne,769,252,0.0%,0.090750
kill,770,252,0.0%,0.090868
queequeg,771,252,0.0%,0.090986
ark,772,252,0.0%,0.091104
beast,773,252,0.0%,0.091222
dashwood,774,252,0.0%,0.091340
late,775,251,0.0%,0.091095
tongue,776,251,0.0%,0.091213
stones,777,250,0.0%,0.090967
north,778,249,0.0%,0.090719
grey,779,248,0.0%,0.090471
story,780,248,0.0%,0.090587
prophets,781,247,0.0%,0.090338
speaking,782,247,0.0%,0.090453
paul,783,247,0.0%,0.090569
everything,784,247,0.0%,0.090685
smote,785,247,0.0%,0.090800
sitting,786,247,0.0%,0.090916
smile,787,247,0.0%,0.091032
disciples,788,247,0.0%,0.091147
entered,789,246,0.0%,0.090894
horses,790,246,0.0%,0.091009
sacrifice,791,246,0.0%,0.091124
believed,792,246,0.0%,0.091239
departed,793,245,0.0%,0.090983
talking,794,245,0.0%,0.091098
sperm,795,245,0.0%,0.091212
wrath,796,245,0.0%,0.091327
arms,797,245,0.0%,0.091442
met,798,244,0.0%,0.091183
sky,799,244,0.0%,0.091297
caught,800,244,0.0%,0.091411
lifted,801,244,0.0%,0.091526
bright,802,244,0.0%,0.091640
trust,803,244,0.0%,0.091754
plain,804,243,0.0%,0.091492
understanding,805,243,0.0%,0.091606
human,806,243,0.0%,0.091720
perfectly,807,243,0.0%,0.091833
dwelt,808,242,0.0%,0.091569
inheritance,809,242,0.0%,0.091682
stranger,810,242,0.0%,0.091795
churchill,811,242,0.0%,0.091909
minutes,812,241,0.0%,0.091642
fairfax,813,241,0.0%,0.091755
turning,814,241,0.0%,0.091868
